Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/14 4:27:50,0,0,64
08/14 4:29:50,0,0,64
08/14 4:31:50,0,0,64
08/14 4:33:50,0,0,64
08/14 4:35:50,0,0,64
08/14 4:37:50,0,0,64
08/14 4:39:50,0,0,64
08/14 4:41:50,0,0,64
08/14 4:43:50,0,0,64
08/14 4:45:50,0,0,64
08/14 4:47:50,0,0,64
08/14 4:49:50,0,0,64
08/14 4:51:50,0,0,64
08/14 4:53:50,0,0,64
08/14 4:55:50,0,0,64
08/14 4:57:50,0,0,64
08/14 4:59:50,0,0,64
08/14 5:01:50,0,0,64
08/14 5:03:50,0,0,64
08/14 5:05:50,0,0,64
08/14 5:07:50,0,0,64
08/14 5:09:50,0,0,64
08/14 5:11:50,0,0,64
08/14 5:13:50,0,0,64
08/14 5:15:50,0,0,64
08/14 5:17:50,0,0,64
08/14 5:19:50,0,0,64
08/14 5:21:50,0,0,64
08/14 5:23:50,0,0,64
08/14 5:25:50,0,0,64
08/14 5:27:50,0,0,64
08/14 5:29:50,0,0,64
08/14 5:31:50,0,0,64
08/14 5:33:50,0,0,64
08/14 5:35:50,0,0,64
08/14 5:37:50,0,0,64
08/14 5:39:50,0,0,64
08/14 5:41:50,0,0,64
08/14 5:43:50,0,0,64
08/14 5:45:50,0,0,64
08/14 5:47:50,0,0,64
08/14 5:49:50,0,0,64
08/14 5:51:50,0,0,63
08/14 5:53:50,0,0,63
08/14 5:55:50,0,0,64
08/14 5:57:50,0,0,63
08/14 5:59:50,0,0,64
08/14 6:01:50,0,0,64
08/14 6:03:50,0,0,64
08/14 6:05:50,0,0,64
08/14 6:07:50,0,0,64
08/14 6:09:50,0,0,64
08/14 6:11:50,0,0,64
08/14 6:13:50,0,0,64
08/14 6:15:50,0,0,64
08/14 6:17:50,0,0,64
08/14 6:19:50,0,0,64
08/14 6:21:50,0,0,64
08/14 6:23:50,0,0,64
08/14 6:25:50,0,0,64
08/14 6:27:50,0,0,64
08/14 6:29:50,0,0,64
08/14 6:31:50,0,0,64
08/14 6:33:50,0,0,64
08/14 6:35:50,0,0,64
08/14 6:37:50,0,0,64
08/14 6:39:50,0,0,64
08/14 6:41:50,0,0,64
08/14 6:43:50,0,0,64
08/14 6:45:50,0,0,64
08/14 6:47:50,0,0,64
08/14 6:49:50,0,0,64
08/14 6:51:50,0,0,64
08/14 6:53:50,0,0,64
08/14 6:55:50,0,0,64
08/14 6:57:50,0,0,64
08/14 6:59:50,0,0,64
08/14 7:01:50,0,0,64
08/14 7:03:50,0,0,64
08/14 7:05:50,0,0,64
08/14 7:07:50,0,0,64
08/14 7:09:50,0,0,64
08/14 7:11:50,0,0,64
08/14 7:13:50,0,0,64
08/14 7:15:50,0,0,64
08/14 7:17:50,0,0,64
08/14 7:19:50,0,0,64
08/14 7:21:50,0,0,64
08/14 7:23:50,0,0,64
08/14 7:25:50,0,0,64
08/14 7:27:50,0,0,64
08/14 7:29:50,0,0,64
08/14 7:31:50,0,0,64
08/14 7:33:50,0,0,64
08/14 7:35:50,0,0,64
08/14 7:37:50,0,0,64
08/14 7:39:50,0,0,64
08/14 7:41:50,0,0,64
08/14 7:43:50,0,0,64
08/14 7:45:50,0,0,64
08/14 7:47:50,0,0,64
08/14 7:49:50,0,0,64
08/14 7:51:50,0,0,64
08/14 7:53:50,0,0,64
08/14 7:55:50,0,0,64
08/14 7:57:50,0,0,64
08/14 7:59:50,0,0,64
08/14 8:01:50,0,0,64
08/14 8:03:50,0,0,64
08/14 8:05:50,0,0,64
